nl,t,yv,inv_cost,sc
R12_LAM,igcc,2030,1523.9036159047291,sv_2c_buffer_decoal
R12_LAM,igcc,2035,1452.6382687843563,sv_2c_buffer_decoal
R12_LAM,igcc,2040,1399.6273511662587,sv_2c_buffer_decoal
R12_LAM,igcc,2045,1360.7035567919079,sv_2c_buffer_decoal
R12_LAM,igcc,2050,1332.8044583820927,sv_2c_buffer_decoal
R12_LAM,igcc,2055,1313.2182584251855,sv_2c_buffer_decoal
R12_LAM,igcc,2060,1300.3563812641685,sv_2c_buffer_decoal
R12_LAM,igcc,2070,1290.6793107477492,sv_2c_buffer_decoal
R12_LAM,igcc,2080,1295.5555532853589,sv_2c_buffer_decoal
R12_LAM,igcc,2090,1307.4988951033524,sv_2c_buffer_decoal
R12_LAM,igcc,2100,1323.3205344782352,sv_2c_buffer_decoal
R12_LAM,igcc,2110,1323.3205344782352,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2030,3276.444089035406,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2035,3123.3591468148106,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2040,3009.561585417789,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2045,2926.074862586898,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2050,2866.3058472313023,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2055,2824.4127052829094,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2060,2796.980524435096,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2070,2776.6409208111545,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2080,2787.6082288160064,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2090,2813.74320238377,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2100,2848.1886129296554,sv_2c_buffer_decoal
R12_LAM,coal_adv_ccs,2110,2848.1886129296554,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2030,3671.7771841607305,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2035,3495.6798229538967,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2040,3362.3019326661856,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2045,3262.133402605372,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2050,3188.0755745106517,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2055,3133.9563000656244,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2060,3095.929571242094,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2070,3057.781561725689,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2080,3054.1649390961115,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2090,3068.4295123034894,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2100,3092.9300857692697,sv_2c_buffer_decoal
R12_LAM,igcc_ccs,2110,3092.9300857692697,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1960,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1965,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1970,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1975,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1980,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1985,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1990,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,1995,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2000,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2005,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2010,733.58,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2020,733.7777777777777,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2025,733.7777777777777,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2030,735.6822955045525,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2035,741.0953312811564,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2040,748.6391794378571,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2045,757.6923543372603,sv_2c_buffer_decoal
R12_LAM,coal_ppl_u,2050,767.8429942145442,sv_2c_buffer_decoal
R12_MEA,coal_ppl,1990,1052.67,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2005,1052.67,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2010,1052.67,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2015,1052.67,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2020,1053.0,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2025,1053.0,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2030,1022.4216672427624,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2035,999.4955098781031,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2040,982.9513491107772,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2045,970.9378820441407,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2050,963.0770869352741,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2055,958.923790904292,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2060,958.245140146715,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2070,964.932099469486,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2080,978.7831853063038,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2090,996.9120753649017,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2100,1019.4536109396323,sv_2c_buffer_decoal
R12_MEA,coal_ppl,2110,1019.4536109396323,sv_2c_buffer_decoal
